country,state,city,ibgeID,cod_RegiaoDeSaude,name_RegiaoDeSaude,deaths,totalCases,deaths_per_100k_inhabitants,totalCases_per_100k_inhabitants,deaths_by_totalCases,_source,date,newCases,newDeaths,last_info_date,lat,lon
Brazil,MG,Alpercata/MG,3101805,31036,Governador Valadares,19,482,255.51372,6481.97956,0.03942,MS,2021-07-14,0,0,2021-07-14,-18.9803616,-41.9827637
Brazil,RS,Alpestre/RS,4300505,43015,Região 15 - Caminho das Águas,10,468,164.82611,7713.86188,0.02137,MS,2021-07-14,70,0,2021-07-14,-27.2512339,-53.0349646
Brazil,MG,Alpinópolis/MG,3101904,31092,Passos,37,1384,185.38932,6934.56258,0.02673,MS,2021-07-14,14,0,2021-07-14,-20.863611,-46.387777
Brazil,RO,Alta Floresta D'Oeste/RO,1100015,11005,Zona da Mata,65,3935,285.99085,17313.44597,0.01652,MS,2021-07-14,0,0,2021-07-14,-11.9296917,-61.9961284
Brazil,MT,Alta Floresta/MT,5100250,51001,Alto Tapajós,131,8985,252.12187,17292.48061,0.01458,MS,2021-07-14,18,2,2021-07-14,-9.8715018,-56.0839881
Brazil,SP,Altair/SP,3500907,35051,Norte - Barretos,12,266,286.66985,6354.51505,0.04511,MS,2021-07-14,2,0,2021-07-14,-20.5238955,-49.0606135
Brazil,MA,Altamira do Maranhão/MA,2100402,21002,Bacabal,11,319,134.32654,3895.46953,0.03448,MS,2021-07-14,0,-1,2021-07-14,-4.1643006,-45.4674574
Brazil,PR,Altamira do Paraná/PR,4100459,41011,11ª RS Campo Mourão,10,227,594.53032,13495.83829,0.04405,SES,2021-07-14,0,0,2021-07-14,-24.799114,-52.7128633
Brazil,PA,Altamira/PA,1500602,15012,Xingu,290,13764,250.06683,11868.68905,0.02107,MS,2021-07-14,0,0,2021-07-14,-3.204065,-52.209961
Brazil,CE,Altaneira/CE,2300606,23020,20ª Região Crato,15,649,196.07843,8483.66013,0.02311,MS,2021-07-14,0,0,2021-07-14,-6.9980933,-39.7385742
Brazil,MG,Alterosa/MG,3102001,31001,Alfenas / Machado,33,707,227.31969,4870.15224,0.04668,MS,2021-07-14,0,1,2021-07-14,-21.249166,-46.143055
Brazil,PE,Altinho/PE,2600807,26003,Caruaru,27,1276,117.47302,5551.68813,0.02116,MS,2021-07-14,1,1,2021-07-14,-8.4904095,-36.0607494
